time,sunrise_time,precipitation_mm,temp_max_c,weather_code,temp_min_c
2025-11-01,2025-11-01T07:10,0.0,20.0,2,14.7
2025-11-02,2025-11-02T07:11,0.1,17.5,61,14.1
2025-11-03,2025-11-03T07:12,0.2,14.8,61,11.6
2025-11-04,2025-11-04T07:14,0.5,16.8,61,11.0
2025-11-05,2025-11-05T07:15,4.3,15.9,61,14.1
2025-11-06,2025-11-06T07:16,0.2,15.5,61,12.3
2025-11-07,2025-11-07T07:17,0.0,18.6,3,12.1
2025-11-08,2025-11-08T07:18,0.0,19.1,45,11.9
2025-11-09,2025-11-09T07:19,0.0,17.7,45,10.9
2025-11-10,2025-11-10T07:21,0.0,17.4,3,10.4
2025-11-11,2025-11-11T07:22,0.0,18.9,45,12.4
2025-11-12,2025-11-12T07:23,0.0,17.3,45,9.9
2025-11-13,2025-11-13T07:24,0.0,17.8,3,10.9
2025-11-14,2025-11-14T07:25,0.0,17.4,3,10.0
2025-11-15,2025-11-15T07:26,0.0,16.8,3,11.9
2025-11-16,2025-11-16T07:28,0.0,16.6,3,11.2
2025-11-17,2025-11-17T07:29,0.0,16.1,3,10.8
2025-11-18,2025-11-18T07:30,0.0,17.2,3,12.1
2025-11-19,2025-11-19T07:31,0.0,18.0,2,14.0
2025-11-20,2025-11-20T07:32,0.0,18.0,3,14.3
2025-11-21,2025-11-21T07:33,0.0,17.5,45,11.0
2025-11-22,2025-11-22T07:34,0.0,16.3,45,9.7
2025-11-23,2025-11-23T07:35,0.0,16.0,2,12.6
2025-11-24,2025-11-24T07:37,0.0,16.0,2,12.4
2025-11-25,2025-11-25T07:38,0.0,15.4,2,9.9
2025-11-26,2025-11-26T07:39,0.0,14.2,3,11.6
2025-11-27,2025-11-27T07:40,0.0,14.4,3,11.1
2025-11-28,2025-11-28T07:41,0.0,14.8,3,9.8
2025-11-29,2025-11-29T07:42,0.4,15.5,80,10.1
2025-11-30,2025-11-30T07:43,0.6,16.5,80,12.3
2025-12-01,2025-12-01T07:44,0.0,15.2,3,12.8
2025-12-02,2025-12-02T07:45,0.1,14.4,3,11.2
2025-12-03,2025-12-03T07:46,1.0,12.1,80,9.4
2025-12-04,2025-12-04T07:47,0.0,12.0,3,9.1
2025-12-05,2025-12-05T07:48,8.0,13.1,80,9.2
2025-12-06,2025-12-06T07:49,0.4,14.4,80,8.6
2025-12-07,2025-12-07T07:50,0.6,12.0,61,9.2
2025-12-08,2025-12-08T07:51,1.1,12.9,61,9.1
2025-12-09,2025-12-09T07:52,1.6,11.8,61,9.5
2025-12-10,2025-12-10T07:52,21.2,11.3,61,9.6
2025-12-11,2025-12-11T07:53,2.4,12.1,61,9.2
2025-12-12,2025-12-12T07:54,0.2,9.8,61,8.6
2025-12-13,2025-12-13T07:55,0.0,13.8,45,6.7
2025-12-14,2025-12-14T07:55,3.9,6.2,61,2.5
2025-12-15,2025-12-15T07:56,1.3,8.1,61,3.6
2025-12-16,2025-12-16T07:57,0.1,8.9,3,4.9
2025-12-17,2025-12-17T07:57,0.0,8.6,3,5.0
2025-12-18,2025-12-18T07:58,0.0,10.4,3,5.4
2025-12-19,2025-12-19T07:59,0.0,9.9,3,2.8
2025-12-20,2025-12-20T07:59,0.4,11.4,61,4.9
2025-12-21,2025-12-21T08:00,3.0,9.0,80,5.9
2025-12-22,2025-12-22T08:00,2.1,9.5,61,4.3
2025-12-23,2025-12-23T08:01,0.0,9.5,3,3.5
2025-12-24,2025-12-24T08:01,0.0,11.8,3,4.6
2025-12-25,2025-12-25T08:01,2.5,7.6,61,2.9
